gene,logFC_limma,p_limma,FDR_limma,logFC_edgeR,p_edgeR,FDR_edgeR,agree_dir,mean_logFC,p_fisher,FDR_fisher
ENSG00000198909,-1.367389352726879,0.3588095928356756,0.8800134703068668,-1.5736345247815395,0.18510368194618362,0.9999988525496899,TRUE,-1.4705119387542092,0.24652670574239366,0.4303941319250728
ENSG00000124370,1.2849996644863997,0.3588353080529094,0.8800134703068668,1.3053317223901366,0.2906396475304591,0.9999988525496899,TRUE,1.295165693438268,0.34004986267775256,0.5005798186626368
ENSG00000103485,2.199816889760137,0.35899747838576895,0.8800134703068668,1.4428995254036965,0.24413227687709377,0.9999988525496899,TRUE,1.8213582075819166,0.3010081282395536,0.47092406751873467
ENSG00000267680,-1.0550435378426433,0.35906112681516433,0.8800134703068668,-0.9951511446862954,0.3841310470969274,0.9999988525496899,TRUE,-1.0250973412644693,0.4111636862296932,0.5594915636115968
ENSG00000146267,3.096788129442685,0.3594833226340336,0.8800134703068668,7.52797494118885,0.23197092878693926,0.9999988525496899,TRUE,5.312381535315767,0.29054888522701394,0.46551784042728245
ENSG00000198270,2.1611280130237103,0.35953765890955064,0.8800134703068668,0.7014028992157555,0.5908001014855457,0.9999988525496899,TRUE,1.4312654561197329,0.5414909805404625,0.6564089464192296
ENSG00000137871,-1.9222711884345136,0.3602528557736062,0.8802602712578006,-1.2950369383924363,0.4136459248082841,0.9999988525496899,TRUE,-1.608654063413475,0.43270014004307444,0.5772962572596064
ENSG00000142207,2.036742677765303,0.36025335393599545,0.8802602712578006,2.588220156055867,0.11910690612082153,0.9999988525496899,TRUE,2.312481416910585,0.1780143761712225,0.36911231720726273
ENSG00000019485,-2.1000785771418564,0.36038286956390997,0.8802602712578006,-2.8736873057825134,0.2593336326426226,0.9999988525496899,TRUE,-2.486882941462185,0.31497949877858655,0.48293821994809294
ENSG00000101194,2.523555983086924,0.36039665386225916,0.8802602712578006,6.3211298630457176,0.3025590038791988,0.9999988525496899,TRUE,4.422342923066321,0.3506798309951382,0.5092215010894612
ENSG00000108556,-2.9360147928282263,0.36066718082261195,0.88076018687282,-2.8634090577576456,0.1807531598011502,0.9999988525496899,TRUE,-2.899711925292936,0.24319271376226853,0.4277289172014371
ENSG00000004975,-1.3659884527227482,0.3608182118990851,0.8807821739653551,-1.2720502849209985,0.3319162410933726,0.9999988525496899,TRUE,-1.3190193688218734,0.37392554433074426,0.530394388415668
ENSG00000122735,-2.2776964080515283,0.3608716612491261,0.8807821739653551,-3.9095608591491073,0.3608050339302618,0.9999988525496899,TRUE,-3.093628633600318,0.3956453888011056,0.5465626821315829
ENSG00000203952,1.7355493157572557,0.36093959592554103,0.8807821739653551,1.2839493822986539,0.36344945267722595,0.9999988525496899,TRUE,1.5097493490279548,0.397637529033714,0.5477356940016496
ENSG00000197780,2.3569909289524498,0.36113366133334673,0.8810949872917754,0.4184062536688113,0.7644390994388297,0.9999988525496899,TRUE,1.3876985913106306,0.6313930905273892,0.7214949585886483
ENSG00000106665,1.0889885012239873,0.3612858937693319,0.8811214806287069,1.1796931555143033,0.32829942219091796,0.9999988525496899,TRUE,1.1343408283691452,0.37147627011430606,0.5283840585254547
ENSG00000188373,-3.2480444023798727,0.3613738447654038,0.8811214806287069,-3.7461687043365295,0.12075861021456435,0.9999988525496899,TRUE,-3.497106553358201,0.18030780641290325,0.36987390527512415
ENSG00000110844,2.5208697911219433,0.3614739113427824,0.8811214806287069,2.402720823574562,0.35281322163571605,0.9999988525496899,TRUE,2.4617953073482526,0.3901714624451293,0.5414936843090675
ENSG00000164761,-1.4331850262143984,0.36192661605814264,0.8814486202657021,-0.61833906220205,0.5906736839464999,0.9999988525496899,TRUE,-1.0257620442082243,0.543602271950422,0.6582162745100117
ENSG00000159251,-2.6108776999227805,0.3620038594672158,0.8814486202657021,-3.2910559738012113,0.07369974821773434,0.9999988525496899,TRUE,-2.950966836861996,0.12336260559405339,0.3243809777826286
ENSG00000180938,-2.2845126946989684,0.36205292655011984,0.8814486202657021,-3.3023311282227117,0.25169250646204827,0.9999988525496899,TRUE,-2.79342191146084,0.3094194574655062,0.4783884070978537
ENSG00000160908,1.3724340168746172,0.36212843652990045,0.8814486202657021,0.5630051222516647,0.5912158609990935,0.9999988525496899,TRUE,0.9677195695631409,0.5440888679764025,0.6586175572423995
ENSG00000258986,2.7320817869771092,0.36217117877632765,0.8814486202657021,3.580495821539684,0.07867756674589955,0.9999988525496899,TRUE,3.1562888042583968,0.12988006941319122,0.3297949801237384
